NIVEL 1;NIVEL 2;NIVEL 3;NIVEL 4;G01;G02;G03;G04
01. A;01.01. AA;01.01.01. AAA;;RW;RW;RO;RO
;;01.01.02. AAB;;RW;RO;RO;RO
;;01.01.03. AAC;;RW;RO;RO;RO
;01.02. AB;01.02.01. ABA;;RW;RO;;
;;01.02.02. ABB;;RW;RO;;
;;01.02.03. ABC;;RW;RW;RO;RO
;;01.02.04. ABD;01.02.04.01. ABDA;RW;RO;RO;RW
;;;01.02.04.02. ABDB;RW;RO;RO;RW
;;01.02.05. ABE;;RW;RO;RW;RW
;;01.02.06. ABF;;RW;RW;RO;RO
;01.03. AC;01.03.01. ACA;;RW;RW;;
;;01.03.02. ACB;;RW;RW;;
;;01.03.03. ACC;;RW;RO;;
;;01.03.04. ACD;;RW;RO;;
;01.04. AD;01.04.01. ADA;;RW;RO;;
;;01.04.02. ADB;;RW;RO;;
;01.05. AE;;;RW;RW;RO;RO
;01.06. AF;;;RW;RW;RW;RW
02. B;02.01. BA;;;RW;RO;RO;RO
;02.02. BB;;;RW;RO;RO;RO
;02.03. BC;02.03.01. BCA;;RW;RO;RW;
;;02.03.02. BCB;;RW;RO;RW;
;;02.03.03. BCC;;RW;RO;RW;RW
;;02.03.04. BCD;;RW;RO;RW;RW
;02.04. BD;02.04.01. BDA;;RW;RO;;
;;02.04.02. BDB;BDBA;RW;RO;;
;;;BDBB;RW;RO;;
;;;BDBC;RW;RO;;
;02.05. BE;02.05.01. BEA;;RW;RO;RO;
;;02.05.02. BEB;;RW;RO;RW;
;;02.05.03. BEC;;RW;RO;RO;
;;02.05.04. BED;;RW;RO;;
;;02.05.05. BEE;;RW;RO;;
;02.06. BF;02.06.01. BFA;;RW;RO;;
;;02.06.02. BFB;;RW;RO;;
;02.07. BG;;;RW;RO;;
;02.08. BH;;;RW;RO;;
;02.09. BI;;;RW;RO;;
;02.10. BJ;;;RW;RO;;
;02.11. BK;;;RW;RO;RW;RW
03. C;03.01. CA;;;RW;RO;RO;RO
;03.02. CB;;;RW;RO;RO;RO
;03.03. CC;03.03.01. CCA;;RW;RO;RO;RW
;;03.03.02. CCB;;RW;RO;RO;RW
;03.04. CD;;;RW;RO;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
